"Category","Series 1","Active Power","Hashrate","Heat Index","Operational"
Mon Nov 01 2021 11:25:00 GMT-0500 (CDT),,105.63386666666666,1540.482200220937,70.2,20458
Mon Nov 01 2021 11:30:00 GMT-0500 (CDT),,105.66627118644068,1541.6122627313007,70.47,20455
Mon Nov 01 2021 11:35:00 GMT-0500 (CDT),,105.73941666666666,1537.4859912397114,70.61,20456
Mon Nov 01 2021 11:40:00 GMT-0500 (CDT),,105.8612372881356,1527.0445783144096,71.29,20458
Mon Nov 01 2021 11:45:00 GMT-0500 (CDT),,106.01263333333333,1527.0402685999638,71.78,20453
Mon Nov 01 2021 11:50:00 GMT-0500 (CDT),,106.00698333333334,1529.7165792456203,72.07,20458
Mon Nov 01 2021 11:55:00 GMT-0500 (CDT),,106.04081666666667,1527.8121915277916,71.98,20439
Mon Nov 01 2021 12:00:00 GMT-0500 (CDT),,106.09458333333333,1521.170207145579,72.81,20428
Mon Nov 01 2021 12:05:00 GMT-0500 (CDT),,106.32041666666667,1521.9121955212095,72.95,20444
Mon Nov 01 2021 12:10:00 GMT-0500 (CDT),,105.94228813559323,1529.8542479532985,72.97,20453
Mon Nov 01 2021 12:15:00 GMT-0500 (CDT),,105.88431666666666,1533.6755710084299,73.18,20446
Mon Nov 01 2021 12:20:00 GMT-0500 (CDT),,105.79415,1525.5860943043508,73.81,20453
Mon Nov 01 2021 12:25:00 GMT-0500 (CDT),,105.73476666666667,1525.7169912069667,73.87,20449
Mon Nov 01 2021 12:30:00 GMT-0500 (CDT),,105.48593333333334,1517.5628750983128,73.85,20454
Mon Nov 01 2021 12:35:00 GMT-0500 (CDT),,105.6837,1518.3527750864512,73.83,20455
Mon Nov 01 2021 12:40:00 GMT-0500 (CDT),,105.29140677966102,1524.56343580259,74.08,20450
Mon Nov 01 2021 12:45:00 GMT-0500 (CDT),,105.29228333333334,1529.5323865018886,74.43,20458
Mon Nov 01 2021 12:50:00 GMT-0500 (CDT),,105.43933333333334,1532.7619524155843,74.48,20455
Mon Nov 01 2021 12:55:00 GMT-0500 (CDT),,105.61461666666668,1535.479494442451,74.71,20452
Mon Nov 01 2021 13:00:00 GMT-0500 (CDT),,105.72859322033898,1534.919279066509,75.38,20448
