"hour_stump","datacenter_id","datacenter_room_id","miner_model","gigahash/second"
2021-11-27 16:40:00.000,5,"2",S9,462345568
2021-11-06 05:25:00.000,5,"2",S9,469579264
2021-11-08 01:35:00.000,5,"2",S9,467389696
2021-11-20 11:35:00.000,5,"2",S9,467700768
2021-11-18 16:10:00.000,5,"2",S9,464948928
2021-11-12 01:10:00.000,5,"2",S9,462240512
2021-11-21 11:45:00.000,5,"2",S9,464797216
2021-11-26 09:20:00.000,5,"2",S9,461609824
2021-11-22 03:35:00.000,5,"2",S9,463913600
2021-11-19 22:20:00.000,5,"2",S9,0.0
2021-11-04 21:05:00.000,5,"2",S9,469511520
2021-11-04 12:55:00.000,5,"2",S9,468868448
2021-11-27 02:00:00.000,5,"2",S9,463145888
2021-11-04 05:25:00.000,5,"2",S9,469338304
2021-11-29 09:20:00.000,5,"2",S9,458613824
2021-11-20 21:30:00.000,5,"2",S9,463058528
2021-11-19 21:20:00.000,5,"2",S9,0.0
2021-11-06 07:00:00.000,5,"2",S9,468962624
2021-11-12 15:20:00.000,5,"2",S9,462552192
2021-11-26 20:40:00.000,5,"2",S9,463126144
2021-11-15 13:20:00.000,5,"2",S9,455378080
2021-11-07 07:20:00.000,5,"2",S9,468851584
2021-11-28 21:25:00.000,5,"2",S9,458661120
2021-11-05 21:05:00.000,5,"2",S9,467915296
2021-11-25 08:05:00.000,5,"2",S9,237454496
2021-11-13 11:00:00.000,5,"2",S9,457449152
2021-11-06 18:35:00.000,5,"2",S9,469594240
2021-11-24 06:00:00.000,5,"2",S9,463629920
2021-11-30 00:30:00.000,5,"2",S9,452637184
2021-11-18 20:55:00.000,5,"2",S9,465948384
2021-11-07 22:40:00.000,5,"2",S9,467410752
2021-11-06 00:05:00.000,5,"2",S9,466923712
2021-11-13 10:30:00.000,5,"2",S9,456742528
2021-11-30 23:40:00.000,5,"2",S9,436901824
2021-11-09 04:55:00.000,5,"2",S9,466695520
2021-11-03 08:50:00.000,5,"2",S9,469994176
2021-11-24 11:25:00.000,5,"2",S9,463108992
2021-11-23 06:00:00.000,5,"2",S9,463661344
2021-11-30 19:50:00.000,5,"2",S9,453501920
2021-11-07 19:15:00.000,5,"2",S9,468253280
2021-11-09 19:10:00.000,5,"2",S9,466545920
2021-11-28 04:50:00.000,5,"2",S9,461930336
2021-11-03 23:35:00.000,5,"2",S9,467853056
2021-11-03 16:55:00.000,5,"2",S9,469236544
2021-11-22 19:30:00.000,5,"2",S9,463966784
2021-11-25 22:15:00.000,5,"2",S9,461156960
2021-11-16 02:15:00.000,5,"2",S9,449675584
2021-11-21 09:10:00.000,5,"2",S9,464490048
2021-11-17 21:35:00.000,5,"2",S9,458017024
2021-11-14 03:15:00.000,5,"2",S9,455989600
2021-11-28 21:50:00.000,5,"2",S9,459205184
2021-11-22 15:35:00.000,5,"2",S9,463854944
2021-11-19 01:15:00.000,5,"2",S9,465456864
2021-11-06 08:05:00.000,5,"2",S9,469291904
2021-11-10 11:10:00.000,5,"2",S9,465897376
2021-11-21 15:10:00.000,5,"2",S9,464559296
2021-11-12 12:15:00.000,5,"2",S9,462891712
2021-11-11 15:00:00.000,5,"2",S9,462598816
2021-11-24 04:35:00.000,5,"2",S9,462688864
