hour_stump,M31_target_HR,avg hashrate,miners,avg_uptime,env_temp,avg power,power_rt,lancium_box_uuid
10/14/21 20:20,72802946.17,64664.1991,6500,1623230.133,36.81607692,2718.122308,2721.748,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 20:25,73691379.39,76723.52851,7911,954547.562,58.63291619,3255.738971,546167.7176,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 20:25,72836980.75,64706.00292,6495,1624975.535,37.03602771,2721.246343,2724.53903,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 20:30,73544377.37,76344.68212,7909,955052.2903,58.60601846,3234.420534,274773.1995,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 20:30,72858348.9,64714.56816,6498,1625172.743,37.09656817,2721.289166,2723.165589,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 20:35,73562243.53,76423.25695,7911,954949.437,58.85185185,3250.169637,817620.171,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 20:35,72802020.54,64709.25642,6500,1624653.234,36.85623077,2719.532462,2721.420308,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 20:40,73584441.18,76493.7969,7910,955629.2762,59.02850822,3252.549052,817723.5327,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 20:40,72859292.65,64762.73399,6498,1625786.295,36.91743613,2721.397507,2724.34903,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 20:45,73572404.59,76565.33449,7910,955721.4003,58.9505689,3250.515676,546231.7497,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 20:45,72869574.14,64789.54146,6497,1626345.999,37.06533785,2723.734801,2725.34539,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 20:50,73590978.39,76654.77313,7910,956230.1909,58.93849558,3249.57598,817720.0024,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 20:50,72859290.72,64764.5619,6498,1626375.088,37.29786088,2723.146045,2724.834872,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 20:55,73581781.51,76702.84558,7909,956381.1425,58.86995828,3248.74194,274774.5355,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 20:55,72857847.54,64797.92824,6496,1627177.186,37.36260776,2725.444581,2727.378849,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 21:00,73535708.69,76666.11889,7908,956054.4702,58.87247092,3246.803743,546365.8366,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 21:00,72858773.73,64774.40367,6496,1627253.806,37.19919951,2722.782328,2723.082512,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 21:05,73533096.99,76671.32893,7910,956985.5386,59.04292035,3245.790898,546226.4459,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 21:05,72824215.66,64758.2379,6499,1626987.159,37.13825204,2721.36421,2724.314818,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 21:10,73579397.57,76671.43821,7909,957543.0948,58.79573903,3244.177014,817817.7695,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 21:10,72891071.04,64830.76124,6495,1628321.339,36.88221709,2723.717321,2724.832333,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 21:15,73569469.04,76665.8782,7906,957417.6374,58.84303061,3243.862762,274873.8273,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 21:15,72846635.39,64795.15322,6497,1628123.811,37.06333692,2723.098661,2725.053717,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 21:20,73579723.45,76654.91282,7910,957436.903,58.90075853,3243.206321,817714.7273,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 21:20,72814150.76,64769.28105,6499,1627885.915,37.22688106,2722.393753,2724.628404,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 21:25,73594103.15,76718.42601,7906,958184.0099,58.9605363,3245.163673,274875.3404,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 21:25,72869776.23,64802.54897,6496,1628966.651,37.44442734,2725.211669,2725.514778,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 21:30,73482521.72,76411.43227,7909,957767.0889,59.00518397,3231.372108,274766.3476,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 21:30,72870000.08,64818.48295,6495,1629526.639,37.34357198,2725.348114,2726.921324,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 21:35,73496600.08,76478.06712,7909,958383.9014,58.83297509,3242.664939,1089341.926,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 21:35,72870509.36,64811.07182,6497,1629332.919,37.10766508,2723.277821,2725.13714,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 21:40,73495506.78,76516.75798,7908,958757.107,58.50499494,3243.448912,274804.0989,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 21:40,72857933.49,64803.91292,6500,1628902.216,37.13561538,2723.574615,2725.223692,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 21:45,73504715.73,76604.92784,7909,958990.7571,58.29150335,3242.359337,546291.8135,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 21:45,72892941.56,64828.16477,6495,1630414.632,38.02186297,2726.800308,2731.242032,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 21:50,73487879.51,76609.14831,7912,958085.3751,58.11905966,3238.11451,546083.5838,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 21:50,72880999.94,64812.00019,6495,1630722.665,37.35981524,2724.727945,2726.224172,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 21:55,73482198.92,76565.7807,7920,957484.1955,58.21906566,3237.063384,545536.4653,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 21:55,72858569,64799.22101,6497,1630524.125,37.13075266,2723.283977,2724.945359,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 22:00,73441107.7,76561.79921,7925,956561.1931,58.46492114,3239.931735,816170.4132,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 22:00,72847358.95,64782.17971,6498,1630253.242,37.24707602,2723.018467,2724.703755,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 22:05,72762958.13,75831.41015,7925,947910.7375,58.03198738,3208.433943,816139.0623,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 22:05,72578675.47,64536.49002,6498,1623086.265,36.87265312,2712.130656,2712.874115,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 22:10,72823232.92,75429.25714,7923,948600.0865,57.7589297,3185.868232,274248.1434,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 22:10,72867187.79,64559.09744,6495,1631136.279,36.99137798,2711.737952,2723.460508,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 22:15,73489969.92,75869.11922,7923,958236.6398,58.40464471,3224.328537,816376.0251,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 22:15,72869958.63,64522.88915,6469,1632004.054,37.20343175,2714.751584,2723.370691,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 22:20,73510355.93,76140.59492,7931,957573.5363,58.56272853,3241.353549,815557.7764,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 22:20,72868843.29,64537.44481,6496,1631804.877,36.90655788,2719.544643,2723.521244,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 22:25,73506618.26,76367.52906,7935,957363.5325,58.6094518,3240.010964,544512.5085,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 22:25,72869273.41,64689.57563,6494,1632588.381,36.8868186,2724.542809,2724.830305,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 22:30,73517967.53,76529.3932,7934,957743.2618,58.62490547,3239.812957,544580.3707,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 22:30,72891794.25,64716.13673,6496,1632423.777,37.0067734,2724.290179,2726.065579,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 22:35,73478579.66,76583.68238,7935,957934.9423,58.22860744,3240.648519,815144.335,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 22:35,72892012.81,64758.14797,6495,1632665.118,36.90962279,2723.421401,2725.634642,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 22:40,73505789.66,76637.93917,7935,958081.227,57.95274102,3241.278639,273877.0425,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 22:40,72903513.7,64797.62035,6497,1632782.388,36.89895336,2724.292289,2726.081422,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 22:45,73499766.75,76652.39531,7934,958677.4421,57.80558356,3239.964331,815248.0372,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 22:45,72881512.09,64812.92573,6497,1633079.493,36.90711097,2724.250885,2725.61413,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 22:50,73515040.29,76639.44523,7936,958763.3371,57.59853831,3239.808594,273843.0059,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 22:50,72881720.36,64810.85716,6496,1633604.705,36.96921182,2723.70859,2725.515548,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 22:55,73487423.01,76653.98432,7935,959119.4097,57.44511657,3239.434783,815144.5065,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 22:55,72903228.65,64836.69941,6494,1634425.889,37.01940253,2725.283954,2726.795042,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 23:00,71785933.54,74831.39431,7927,936501.7278,55.91863252,3161.552163,274070.8505,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 23:00,72147867.94,64177.74045,6495,1615709.381,36.56989992,2697.091455,2698.79261,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 23:05,73413925.85,75497.14027,7936,957873.5662,56.79876512,3208.232611,544439.9893,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 23:05,71685459.4,63459.74397,6494,1605961.729,36.34039113,2664.877117,2677.587003,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 23:10,73362360.23,72839.73845,7931,956400.2876,56.18200731,3081.392889,544720.22,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 23:10,72296392.9,61768.33652,6361,1617777.286,36.50180789,2584.161138,2669.657758,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 23:15,73487177.82,73204.56135,7937,958336.2883,56.38761497,3184.235353,544372.7316,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 23:15,72363138.23,62378.09594,6491,1622335.683,36.70928979,2672.485595,2702.056386,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 23:20,73478336.7,75086.36768,7937,958634.4798,56.56268111,3247.593549,273817.5409,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 23:20,72318575.2,63243.37401,6495,1622249.644,36.69846035,2701.024326,2703.341032,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 23:25,71286099.39,71992.8077,7924,929247.7995,54.62209743,3049.368879,545114.6786,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 23:25,71891648.52,63002.42988,6470,1612092.559,36.37697063,2684.15626,2688.065688,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 23:30,73480214.38,72124.30855,7934,958016.9196,55.84471893,3100.397404,544564.6482,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 23:30,72356670.76,62669.3438,6485,1623292.196,36.20154202,2657.802776,2693.819121,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 23:35,73196814.61,73472.55498,7933,954147.2767,55.82938359,3236.847473,273949.339,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 23:35,72378139.5,63634.73314,6496,1623614.858,36.24822968,2700.899323,2706.865456,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 23:40,71534592.05,73394.05254,7929,931719.8572,54.65046034,3153.58532,544846.9291,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 23:40,72247340.65,63235.10341,6451,1622813.482,36.53828864,2668.825298,2691.21175,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 23:45,73251783.42,74808.69011,7934,955499.5015,56.02590118,3216.466725,544587.3738,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 23:45,72279678.98,63420.76824,6499,1621902.351,36.57016464,2692.712725,2705.01431,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
